Country,year,avg_temp_mean_f,avg_temp_max_f,avg_temp_min_f,total_precip_mm,avg_sunshine_hrs,total_radiation_mj
Cuba,2004,75.49523,85.28376,66.73172,1196.5,3605.9678,7051.97
Cuba,2005,75.18565,84.92623,66.36403,1271.4,3532.9512,6947.46
Cuba,2006,75.20455,84.45897,67.00242,1365.3999,3508.964,6697.24
Cuba,2007,75.79784,85.291405,67.39102,1430.4,3532.3032,6861.37
Cuba,2008,75.43432,84.85884,66.95155,1178.7999,3472.7222,6803.9297
Cuba,2009,76.86216,86.54154,68.07355,1250.4,3508.664,6912.5996
Cuba,2010,76.529434,85.85384,68.185486,1743.3,3421.5327,6648.1396
Cuba,2011,75.2231,84.74006,66.70899,1242.7998,3409.049,6759.24
Cuba,2012,75.06734,84.61639,66.41622,2065.2002,3414.7957,6745.3896
Cuba,2013,74.35379,83.162224,66.460945,1701.1,3235.1135,6264.1196
Cuba,2014,75.31636,84.50212,67.05937,1373.4,3569.3884,6805.04
Cuba,2015,75.01815,84.18872,66.89418,1292.7,3517.6404,6708.08
Cuba,2016,75.76764,85.28568,67.4074,1731.1001,3365.6936,6603.1504
Cuba,2017,75.8142,84.31817,68.44735,779.6,3517.8677,6848.31
Cuba,2018,75.236824,83.79198,67.75497,901.0,3420.5027,6590.1797
Cuba,2019,75.41391,83.493126,68.2856,1559.4,3312.0793,6427.45
Cuba,2020,74.27608,82.44773,67.37961,1204.1,3413.9517,6502.64
Denmark,1995,46.582726,52.296772,40.891186,618.4,2864.77,3909.37
Denmark,1996,44.270313,49.766266,38.89741,516.7,2617.835,3695.46
Denmark,1997,46.880512,52.243515,41.366337,649.19995,2753.648,3787.96
Denmark,1998,46.3402,51.110992,41.54584,832.69995,2463.8748,3373.1396
Denmark,1999,47.511772,52.92801,42.079678,907.30005,2684.0718,3643.12
Denmark,2000,48.135727,53.098724,43.149788,822.9,2565.2183,3497.87
Denmark,2001,46.142895,51.45053,40.889214,758.39996,2554.911,3557.24
Denmark,2002,47.998085,53.19061,42.74124,807.9,2722.0344,3756.59
Denmark,2003,47.09017,53.056477,41.266964,638.6,2885.3,3890.4097
Denmark,2004,47.060898,52.450035,41.78897,809.7999,2749.1096,3700.46
Denmark,2005,47.126705,52.856743,41.392967,682.6,2853.7637,3829.4602
Denmark,2006,48.423813,53.886444,43.02973,828.0,2702.1816,3750.87
Denmark,2007,48.443043,53.698555,43.23291,831.19995,2746.0154,3705.76
Denmark,2008,48.282776,53.683224,42.659954,772.6,2866.0457,3884.13
Denmark,2009,47.35922,52.63581,42.089294,711.9,2728.7344,3844.4102
Denmark,2010,43.576584,48.867157,38.065926,700.3,2592.645,3672.58
Denmark,2011,47.81679,53.266804,42.455704,720.6,2629.4417,3634.7202
Denmark,2012,46.19808,51.374462,41.003067,850.7999,2763.5774,3678.93
Denmark,2013,46.657352,52.19765,41.159706,651.9,2772.9954,3806.3896
Denmark,2014,49.70093,54.86141,44.539265,807.5,2703.8955,3708.32
Denmark,2015,48.07302,53.221684,43.114555,928.9,2720.3716,3727.0
Denmark,2016,48.011574,53.33025,42.777622,730.8,2785.656,3645.9697
Denmark,2017,47.659172,52.863968,42.63467,860.5,2361.7444,3378.2302
Denmark,2018,48.923588,54.699604,43.22275,668.10004,2617.5977,3907.17
Denmark,2019,48.59768,54.137413,43.134724,1022.5,2524.6406,3688.69
Denmark,2020,49.27728,54.68413,43.66085,886.8,2566.0444,3728.5698
Dominican Republic,1995,80.22034,80.99526,79.367615,406.4,3864.1973,7666.62
Dominican Republic,1996,79.96498,80.7591,79.08524,939.69995,3683.085,7391.8203
Dominican Republic,1997,80.255684,81.09512,79.32446,476.2,3833.8066,7568.19
Dominican Republic,1998,81.02922,81.84915,80.11868,968.5,3697.6526,7278.5303
Dominican Republic,1999,80.31204,81.10055,79.45145,368.40002,3762.789,7446.12
Dominican Republic,2000,80.60035,81.4186,79.66828,757.5,3702.6287,7374.73
Dominican Republic,2001,80.53699,81.308655,79.6778,426.19998,3744.2427,7398.15
Dominican Republic,2002,81.32576,82.08019,80.47548,376.30002,3782.7834,7456.06
Dominican Republic,2003,81.22327,82.05307,80.31027,579.0,3795.668,7542.75
Dominican Republic,2004,81.02998,81.87696,80.0123,766.5,3702.2678,7309.19
Dominican Republic,2005,80.56896,81.39077,79.6815,1083.2,3671.6467,7363.9497
Dominican Republic,2006,80.79948,81.56781,79.93129,928.4001,3690.0894,7319.6
Dominican Republic,2007,80.954994,81.75669,80.068634,1064.7,3655.928,7239.76
Dominican Republic,2008,80.3872,81.20393,79.526886,620.30005,3701.5356,7374.3804
Dominican Republic,2009,81.22524,81.97836,80.38869,800.80005,3729.926,7406.1104
Dominican Republic,2010,81.323074,82.24046,80.31398,1206.5,3554.3645,7018.0
Dominican Republic,2011,80.77821,81.573975,79.89677,957.39996,3632.1042,7219.26
Dominican Republic,2012,80.107796,80.91229,79.27828,709.6,3774.64,7478.8105
Dominican Republic,2013,80.2955,81.08477,79.44553,622.69995,3645.7861,7244.62
Dominican Republic,2014,80.66035,81.45118,79.77323,455.20004,3766.9917,7424.7
Dominican Republic,2015,81.383644,82.20323,80.516655,629.0,3751.605,7400.6104
Dominican Republic,2016,80.87294,81.61582,80.03787,673.8,3659.6055,7248.39
Dominican Republic,2017,80.94087,81.80156,80.01315,850.9001,3700.4395,7419.59
Dominican Republic,2018,81.12877,81.96529,80.23211,264.9,3677.4397,7396.09
Dominican Republic,2019,80.40584,81.341446,79.46994,1178.6,3518.7085,7099.5195
Dominican Republic,2020,80.9418,81.912865,79.94885,1220.7001,3534.417,7034.07
Ecuador,1995,80.80875,82.02471,79.277374,1775.2,3724.2278,7517.41
Ecuador,1996,80.406525,81.616806,78.82729,1835.7,3773.7273,7530.5195
Ecuador,1997,80.805626,82.07107,79.244576,1856.0999,3802.545,7615.7397
Ecuador,1998,81.607185,82.85937,80.03263,1933.1001,3659.59,7366.4
Ecuador,1999,80.57708,81.82179,78.96718,2123.2002,3735.9229,7460.5103
Ecuador,2000,80.70542,82.01517,78.9977,1973.3999,3696.0579,7399.8003
Ecuador,2001,80.812416,82.11397,79.173065,1985.5,3739.051,7478.31
Ecuador,2002,81.02716,82.2809,79.50225,2315.9,3619.781,7196.37
Ecuador,2003,81.35768,82.62488,79.709366,2074.2,3686.7437,7367.46
Ecuador,2004,80.83717,82.10221,79.294754,2433.9,3621.754,7201.4697
Ecuador,2005,81.16038,82.35512,79.65069,1564.7,3813.246,7538.3594
Ecuador,2006,80.82776,82.12655,79.306465,2707.0,3617.658,7182.46
Ecuador,2007,81.34528,82.56101,79.725395,1787.5,3704.5742,7452.7295
Ecuador,2008,80.98405,82.20844,79.44967,1799.1001,3721.2224,7487.0205
Ecuador,2009,81.269806,82.510956,79.691124,1736.5999,3773.958,7545.73
Ecuador,2010,81.53065,82.74373,79.87383,1810.6,3710.4272,7332.79
Ecuador,2011,81.15793,82.35093,79.57622,1819.5,3774.1436,7523.0303
Ecuador,2012,81.31562,82.53992,79.71795,1906.7001,3693.4534,7375.71
Ecuador,2013,81.21133,82.41972,79.69359,1904.2,3705.746,7347.9697
Ecuador,2014,81.29572,82.53142,79.64255,1724.6001,3779.8184,7459.6895
Ecuador,2015,81.61805,82.911644,79.865204,2343.8,3698.62,7375.23
Ecuador,2016,81.66728,82.94246,80.0541,2535.5,3614.0989,7185.87
Ecuador,2017,81.8694,83.13603,80.18896,1871.5,3748.25,7574.7
Ecuador,2018,81.53943,82.87984,79.72293,2319.2,3604.0098,7266.36
Ecuador,2019,81.79975,83.150085,80.102165,2571.2998,3515.0034,7088.56
Ecuador,2020,82.39026,83.6659,80.64746,2084.0,3658.3833,7398.3896
Estonia,1995,43.296146,48.950737,37.17775,709.80005,2432.155,3467.01
Estonia,1996,40.10239,46.229897,33.594246,595.4,2497.3245,3602.8098
Estonia,1997,42.445957,48.334053,35.964844,648.8,2654.3083,3667.7803
Estonia,1998,41.932545,47.504322,36.143364,800.1,2406.7534,3358.92
Estonia,1999,43.64514,49.649776,37.0372,624.4,2545.7607,3668.8298
Estonia,2000,44.65882,50.29465,38.64113,701.39996,2538.9807,3541.2402
